subject,seed,contrast
306_A,roi1,seed.fearfulVsHappyapriori.rois.noVmpfc
160_A,roi1,seed.fearfulVsHappyapriori.rois.withVmpfc
325_A,roi1,seed.fearfulVsHappyapriori.rois.withVmpfc
122_A,roi1,seed.fearfulVsNeutralapriori.rois.noVmpfc
337_A,roi1,seed.fearfulVsNeutralapriori.rois.noVmpfc
362_A,roi1,seed.fearfulVsNeutralapriori.rois.noVmpfc
349_A,roi1,seed.fearfulVsNeutralapriori.rois.withVmpfc
362_A,roi1,seed.fearfulVsNeutralapriori.rois.withVmpfc
322_A,roi1,seed.fearfulVsNeutralapriori.rois.withVmpfc
122_A,roi1,seed.fearfulVsSadapriori.rois.noVmpfc
367_A,roi1,seed.fearfulVsSadapriori.rois.noVmpfc
163_A,roi1,seed.fearfulVsSadapriori.rois.withVmpfc
360_A,roi1,seed.fearfulVsSadapriori.rois.withVmpfc
322_A,roi1,seed.fearfulVsSadapriori.rois.withVmpfc
165_A,roi1,seed.happyVsNeutralapriori.rois.noVmpfc
357_A,roi1,seed.happyVsNeutralapriori.rois.noVmpfc
114_A,roi1,seed.happyVsNeutralapriori.rois.noVmpfc
123_A,roi1,seed.happyVsNeutralapriori.rois.withVmpfc
330_A,roi1,seed.happyVsSadapriori.rois.withVmpfc
109_A,roi1,seed.neutralVsSadapriori.rois.noVmpfc
114_A,roi1,seed.neutralVsSadapriori.rois.noVmpfc
122_A,roi1,seed.neutralVsSadapriori.rois.withVmpfc
123_A,roi1,seed.neutralVsSadapriori.rois.withVmpfc
320_A,roi1,seed.neutralVsSadapriori.rois.withVmpfc
127_A,roi2,seed.fearfulVsHappyapriori.rois.noVmpfc
159_A,roi2,seed.fearfulVsHappyapriori.rois.noVmpfc
348_A,roi2,seed.fearfulVsHappyapriori.rois.withVmpfc
310_A,roi2,seed.fearfulVsHappyapriori.rois.withVmpfc
123_A,roi2,seed.fearfulVsNeutralapriori.rois.noVmpfc
111_A,roi2,seed.fearfulVsNeutralapriori.rois.noVmpfc
356_A,roi2,seed.fearfulVsNeutralapriori.rois.noVmpfc
306_A,roi2,seed.fearfulVsSadapriori.rois.noVmpfc
307_A,roi2,seed.fearfulVsSadapriori.rois.noVmpfc
127_A,roi2,seed.fearfulVsSadapriori.rois.withVmpfc
147_A,roi2,seed.fearfulVsSadapriori.rois.withVmpfc
332_A,roi2,seed.fearfulVsSadapriori.rois.withVmpfc
135_A,roi2,seed.happyVsNeutralapriori.rois.noVmpfc
139_A,roi2,seed.happyVsNeutralapriori.rois.noVmpfc
159_A,roi2,seed.happyVsNeutralapriori.rois.noVmpfc
330_A,roi2,seed.happyVsNeutralapriori.rois.noVmpfc
363_A,roi2,seed.happyVsNeutralapriori.rois.noVmpfc
358_A,roi2,seed.happyVsNeutralapriori.rois.withVmpfc
344_A,roi2,seed.happyVsNeutralapriori.rois.withVmpfc
147_A,roi2,seed.happyVsSadapriori.rois.noVmpfc
127_A,roi2,seed.happyVsSadapriori.rois.withVmpfc
328_A,roi2,seed.happyVsSadapriori.rois.withVmpfc
337_A,roi2,seed.happyVsSadapriori.rois.withVmpfc
330_A,roi2,seed.happyVsSadapriori.rois.withVmpfc
153_A,roi2,seed.neutralVsSadapriori.rois.noVmpfc
330_A,roi3,seed.fearfulVsHappyapriori.rois.noVmpfc
160_A,roi3,seed.fearfulVsNeutralapriori.rois.noVmpfc
141_A,roi3,seed.fearfulVsNeutralapriori.rois.withVmpfc
304_A,roi3,seed.fearfulVsSadapriori.rois.noVmpfc
362_A,roi3,seed.fearfulVsSadapriori.rois.withVmpfc
349_A,roi3,seed.happyVsNeutralapriori.rois.noVmpfc
360_A,roi3,seed.happyVsNeutralapriori.rois.withVmpfc
155_A,roi3,seed.happyVsSadapriori.rois.noVmpfc
135_A,roi3,seed.happyVsSadapriori.rois.withVmpfc
147_A,roi3,seed.happyVsSadapriori.rois.withVmpfc
145_A,roi3,seed.neutralVsSadapriori.rois.noVmpfc
165_A,roi3,seed.neutralVsSadapriori.rois.noVmpfc
361_A,roi3,seed.neutralVsSadapriori.rois.noVmpfc
112_A,roi3,seed.neutralVsSadapriori.rois.withVmpfc
360_A,roi3,seed.neutralVsSadapriori.rois.withVmpfc
114_A,roi4,seed.fearfulVsHappyapriori.rois.noVmpfc
165_A,roi4,seed.fearfulVsHappyapriori.rois.withVmpfc
134_A,roi4,seed.fearfulVsHappyapriori.rois.withVmpfc
320_A,roi4,seed.fearfulVsHappyapriori.rois.withVmpfc
160_A,roi4,seed.fearfulVsNeutralapriori.rois.noVmpfc
362_A,roi4,seed.fearfulVsNeutralapriori.rois.noVmpfc
143_A,roi4,seed.fearfulVsNeutralapriori.rois.withVmpfc
307_A,roi4,seed.fearfulVsNeutralapriori.rois.withVmpfc
320_A,roi4,seed.fearfulVsNeutralapriori.rois.withVmpfc
306_A,roi4,seed.fearfulVsSadapriori.rois.noVmpfc
349_A,roi4,seed.fearfulVsSadapriori.rois.noVmpfc
360_A,roi4,seed.fearfulVsSadapriori.rois.withVmpfc
111_A,roi4,seed.happyVsNeutralapriori.rois.noVmpfc
155_A,roi4,seed.happyVsSadapriori.rois.noVmpfc
163_A,roi4,seed.happyVsSadapriori.rois.noVmpfc
337_A,roi4,seed.happyVsSadapriori.rois.noVmpfc
331_A,roi4,seed.happyVsSadapriori.rois.withVmpfc
359_A,roi4,seed.happyVsSadapriori.rois.withVmpfc
122_A,roi4,seed.neutralVsSadapriori.rois.noVmpfc
135_A,roi4,seed.neutralVsSadapriori.rois.noVmpfc
357_A,roi4,seed.neutralVsSadapriori.rois.withVmpfc
343_A,roi4,seed.neutralVsSadapriori.rois.withVmpfc
109_A,roi5,seed.fearfulVsHappyapriori.rois.withVmpfc
153_A,roi5,seed.fearfulVsHappyapriori.rois.withVmpfc
347_A,roi5,seed.fearfulVsNeutralapriori.rois.noVmpfc
304_A,roi5,seed.fearfulVsNeutralapriori.rois.noVmpfc
343_A,roi5,seed.fearfulVsNeutralapriori.rois.withVmpfc
356_A,roi5,seed.fearfulVsNeutralapriori.rois.withVmpfc
361_A,roi5,seed.fearfulVsNeutralapriori.rois.withVmpfc
157_A,roi5,seed.fearfulVsSadapriori.rois.noVmpfc
114_A,roi5,seed.fearfulVsSadapriori.rois.noVmpfc
108_A,roi5,seed.happyVsNeutralapriori.rois.noVmpfc
367_A,roi5,seed.happyVsNeutralapriori.rois.withVmpfc
144_A,roi5,seed.happyVsNeutralapriori.rois.withVmpfc
330_A,roi5,seed.happyVsNeutralapriori.rois.withVmpfc
356_A,roi5,seed.happyVsSadapriori.rois.noVmpfc
357_A,roi5,seed.neutralVsSadapriori.rois.withVmpfc
160_A,roi5,seed.neutralVsSadapriori.rois.withVmpfc
339_A,roi6,seed.fearfulVsHappyapriori.rois.noVmpfc
332_A,roi6,seed.fearfulVsHappyapriori.rois.withVmpfc
134_A,roi6,seed.fearfulVsNeutralapriori.rois.withVmpfc
310_A,roi6,seed.fearfulVsNeutralapriori.rois.withVmpfc
108_A,roi6,seed.fearfulVsSadapriori.rois.withVmpfc
160_A,roi6,seed.fearfulVsSadapriori.rois.withVmpfc
331_A,roi6,seed.fearfulVsSadapriori.rois.withVmpfc
321_A,roi6,seed.happyVsNeutralapriori.rois.noVmpfc
127_A,roi7,seed.fearfulVsHappyapriori.rois.noVmpfc
367_A,roi7,seed.fearfulVsHappyapriori.rois.noVmpfc
344_A,roi7,seed.fearfulVsHappyapriori.rois.withVmpfc
348_A,roi7,seed.fearfulVsNeutralapriori.rois.withVmpfc
331_A,roi7,seed.fearfulVsNeutralapriori.rois.withVmpfc
107_A,roi7,seed.happyVsNeutralapriori.rois.noVmpfc
165_A,roi7,seed.happyVsNeutralapriori.rois.noVmpfc
306_A,roi7,seed.happyVsNeutralapriori.rois.noVmpfc
346_A,roi7,seed.happyVsNeutralapriori.rois.noVmpfc
339_A,roi7,seed.happyVsNeutralapriori.rois.noVmpfc
331_A,roi8,seed.fearfulVsHappyapriori.rois.withVmpfc
